Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-08-2021,20.6,30.2,24.3,71.0,-,4.8,5.0,180.0,2.0,SE
02-08-2021,20.6,29.8,24.1,72.0,0,6.0,3.0,140.0,1.0,C 
03-08-2021,19.6,29.2,23.0,77.0,1.5,7.7,5.0,130.0,2.0,SE
04-08-2021,19.8,28.0,22.9,79.0,0,6.2,3.0,90.0,1.0,C 
05-08-2021,19.7,27.1,22.8,80.0,-,5.4,3.0,90.0,1.0,C 
06-08-2021,17.8,29.6,22.9,71.0,-,1.2,3.0,110.0,1.0,C 
07-08-2021,18.0,28.8,22.6,80.0,0,7.8,3.0,160.0,1.0,C 
07-08-2021,18.0,28.8,22.6,80.0,0,7.8,3.0,160.0,1.0,C 
08-08-2021,19.8,29.6,23.4,80.0,1,5.5,5.0,250.0,1.0,SW
09-08-2021,19.8,30.0,23.8,80.0,41.4,6.0,3.0,100.0,2.0,E 
10-08-2021,20.0,30.4,24.6,78.0,4.8,6.2,5.0,90.0,2.0,E 
11-08-2021,19.8,30.0,24.1,65.0,-,6.3,6.0,110.0,2.0,E 
12-08-2021,17.8,29.4,22.2,69.0,0,9.4,3.0,140.0,2.0,SE
13-08-2021,17.8,27.2,22.8,80.0,0,8.0,3.0,30.0,1.0,E 
14-08-2021,19.4,30.6,23.9,74.0,-,1.7,4.0,110.0,2.0,E 
15-08-2021,19.4,31.0,24.2,69.0,-,8.1,5.0,100.0,3.0,E 
16-08-2021,19.4,30.7,23.7,73.0,-,9.4,5.0,100.0,2.0,E 
17-08-2021,18.8,31.0,24.4,67.0,0,8.5,4.0,260.0,1.0,C 
18-08-2021,19.0,30.0,23.3,72.0,0,8.1,4.0,280.0,1.0,SE
19-08-2021,19.4,28.0,22.7,82.0,1.9,6.6,3.0,110.0,1.0,C 
20-08-2021,18.8,28.0,22.8,76.0,40.4,4.4,3.0,200.0,2.0,E 
21-08-2021,20.2,28.0,23.1,79.0,0.8,5.2,3.0,160.0,2.0,E 
22-08-2021,19.4,29.4,23.6,75.0,0,2.3,4.0,140.0,2.0,C 
23-08-2021,18.8,30.6,23.7,72.0,0,6.3,3.0,70.0,2.0,E 
24-08-2021,19.2,30.0,23.9,67.0,0,7.0,3.0,120.0,2.0,E 
25-08-2021,17.6,30.6,23.7,60.0,-,7.1,4.0,50.0,2.0,E 
26-08-2021,18.4,30.6,23.2,66.0,-,7.8,2.0,120.0,1.0,C 
27-08-2021,18.2,30.4,23.2,70.0,0,7.8,4.0,290.0,1.0,C 
28-08-2021,18.0,29.0,23.0,69.0,8888,8.6,4.0,120.0,2.0,E 
29-08-2021,19.0,29.0,22.9,76.0,0,6.6,2.0,120.0,1.0,E 
30-08-2021,19.7,30.8,24.5,70.0,0,3.1,4.0,110.0,2.0,E 
31-08-2021,20.6,30.8,24.7,71.0,-,5.7,4.0,10.0,2.0,E 
