Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-05-2021,19.8,29.4,23.4,81.0,7.5,4.5,3.0,260.0,1.0,C 
02-05-2021,19.8,30.2,24.0,78.0,-,5.1,4.0,280.0,2.0,W 
03-05-2021,21,29.2,24.0,79.0,0,7.3,3.0,60.0,2.0,SE
04-05-2021,19.4,29.8,23.6,78.0,-,3.6,2.0,80.0,1.0,C 
05-05-2021,20,29.4,24.6,82.0,0,6.4,3.0,280.0,1.0,C 
06-05-2021,21.2,29.2,23.8,80.0,10.8,4.7,4.0,250.0,2.0,SE
07-05-2021,20.2,29.4,23.6,81.0,5.2,5.3,4.0,250.0,1.0,C 
08-05-2021,20.4,31.4,25.0,75.0,0.7,5.9,4.0,270.0,2.0,SE
09-05-2021,21.2,31.4,25.8,76.0,0,5.7,3.0,270.0,1.0,C 
10-05-2021,21,31.0,24.8,74.0,0,8.8,4.0,210.0,2.0,W 
11-05-2021,20,30.4,24.3,75.0,0,8.8,4.0,300.0,2.0,NW
12-05-2021,20,29.6,23.8,80.0,0.6,7.1,4.0,150.0,2.0,SE
13-05-2021,19.8,29.8,24.1,76.0,0.2,3.9,3.0,290.0,1.0,E 
14-05-2021,20.8,29.8,23.7,76.0,0,6.7,3.0,150.0,1.0,C 
15-05-2021,20.2,30.4,23.6,81.0,26,5.9,5.0,150.0,1.0,C 
16-05-2021,20,29.2,24.2,80.0,2.4,6.0,2.0,140.0,0.0,C 
17-05-2021,20.2,30.4,24.9,81.0,1.9,1.9,3.0,280.0,1.0,C 
18-05-2021,20.2,27.8,23.5,80.0,28,5.5,3.0,280.0,1.0,C 
19-05-2021,-,28.0,24.1,78.0,0,1.2,2.0,60.0,1.0,C 
20-05-2021,20.2,30.0,23.7,78.0,-,1.8,3.0,150.0,1.0,C 
21-05-2021,20.4,30.2,24.4,82.0,0,6.3,5.0,180.0,1.0,C 
22-05-2021,20.6,29.8,24.1,81.0,30.7,5.4,3.0,280.0,1.0,SE
23-05-2021,20.8,30.0,24.0,80.0,12.4,7.4,3.0,240.0,1.0,C 
24-05-2021,20.7,29.6,24.8,79.0,-,7.1,3.0,60.0,1.0,C 
25-05-2021,20.2,29.0,23.9,83.0,76.8,5.4,5.0,340.0,1.0,C 
26-05-2021,19.4,30.2,23.5,77.0,0.5,5.0,7.0,120.0,2.0,SE
27-05-2021,20.4,31.0,24.1,79.0,0,9.4,4.0,140.0,1.0,C 
28-05-2021,19.5,30.4,23.7,74.0,-,7.3,3.0,270.0,1.0,C 
29-05-2021,20,28.2,23.0,88.0,8888,7.4,3.0,80.0,1.0,C 
30-05-2021,21,29.8,24.5,80.0,35.2,3.1,3.0,300.0,1.0,W 
31-05-2021,21,28.5,24.2,85.0,-,8.0,3.0,290.0,1.0,C 
