Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-02-2021,20.8,28.6,22.8,84.0,0.2,2.9,6.0,270.0,3.0,W 
02-02-2021,-,28.0,23.4,81.0,18.8,5.7,5.0,280.0,2.0,W 
03-02-2021,20.6,26.4,22.6,86.0,8.2,5.9,7.0,250.0,4.0,W 
04-02-2021,21,28.4,22.3,86.0,2,0.7,5.0,270.0,3.0,W 
05-02-2021,20.6,27.6,23.4,82.0,20,5.5,3.0,260.0,2.0,W 
06-02-2021,20.8,27.0,23.4,79.0,2.8,6.2,6.0,300.0,4.0,W 
07-02-2021,20.8,27.0,22.5,92.0,12.2,1.6,5.0,330.0,2.0,W 
08-02-2021,20.8,28.4,23.5,81.0,30.3,2.4,6.0,270.0,3.0,NW
09-02-2021,21,27.6,23.8,80.0,0.8,4.3,6.0,270.0,3.0,W 
10-02-2021,21,27.2,23.3,83.0,2.6,5.2,5.0,250.0,2.0,W 
11-02-2021,20.4,30.4,24.4,74.0,8888,1.9,5.0,300.0,3.0,W 
12-02-2021,20.4,30.6,25.0,73.0,0,8.0,4.0,270.0,2.0,NW
13-02-2021,21.6,30.2,24.3,76.0,0,9.3,5.0,240.0,3.0,W 
14-02-2021,21.4,29.6,24.5,80.0,0,5.8,6.0,270.0,3.0,W 
15-02-2021,21.6,30.0,24.5,78.0,-,4.7,5.0,270.0,3.0,W 
16-02-2021,21.6,28.2,24.2,80.0,0,4.9,3.0,290.0,2.0,W 
17-02-2021,22,26.0,23.5,77.0,0,3.6,5.0,240.0,2.0,NW
18-02-2021,21.6,29.0,23.0,78.0,0.4,0.0,4.0,270.0,3.0,W 
19-02-2021,20.4,24.8,21.6,88.0,8.4,2.1,4.0,300.0,2.0,W 
20-02-2021,20.4,26.4,22.3,84.0,3.2,0.2,5.0,270.0,2.0,W 
21-02-2021,20.2,28.0,23.4,82.0,17,2.1,5.0,280.0,3.0,W 
22-02-2021,20.3,30.2,23.8,77.0,8888,5.4,5.0,270.0,2.0,SW
23-02-2021,20.2,29.8,23.7,74.0,-,6.0,4.0,270.0,2.0,W 
24-02-2021,20.4,25.6,22.6,82.0,1.4,3.8,3.0,320.0,1.0,W 
25-02-2021,20.4,28.0,23.5,79.0,1.6,0.0,9.0,330.0,4.0,NW
26-02-2021,20.6,27.6,23.2,83.0,18.4,3.7,5.0,290.0,2.0,W 
27-02-2021,20.2,29.4,24.1,76.0,5.6,4.0,4.0,40.0,2.0,W 
28-02-2021,20.4,29.8,24.7,70.0,0,3.4,3.0,230.0,2.0,W 
