Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-03-2025,20.6,30.2,23.2,90.0,22.5,1.3,1.0,70.0,0.0,C
02-03-2025,21.4,30.0,24.2,86.0,27.7,3.4,3.0,289.0,0.0,C
03-03-2025,21.2,29.2,24.3,89.0,0.8,4.3,2.0,120.0,0.0,C
04-03-2025,22.0,30.2,24.3,87.0,13.1,2.1,3.0,180.0,0.0,C
05-03-2025,19.4,31.9,23.9,81.0,24.8,2.9,3.0,150.0,1.0,C
06-03-2025,20.8,30.6,24.0,85.0,0.0,6.0,3.0,260.0,0.0,C
07-03-2025,20.6,30.8,23.4,86.0,20.0,5.6,3.0,120.0,0.0,C
08-03-2025,20.2,31.4,22.9,88.0,20.7,5.0,4.0,60.0,1.0,C
09-03-2025,20.0,28.6,23.3,90.0,28.5,4.0,2.0,66.0,0.0,C
10-03-2025,20.2,30.0,23.3,89.0,3.7,1.0,2.0,240.0,0.0,C
11-03-2025,20.2,32.2,24.9,78.0,1.6,2.3,4.0,220.0,1.0,W
12-03-2025,20.9,31.2,26.0,75.0,0.0,7.3,5.0,240.0,1.0,C
13-03-2025,21.8,31.4,25.1,82.0,4.6,6.3,4.0,260.0,1.0,C
14-03-2025,20.2,32.2,25.0,78.0,0.1,6.8,5.0,345.0,1.0,C
15-03-2025,21.4,31.0,23.6,85.0,27.9,5.9,4.0,270.0,1.0,C
16-03-2025,20.8,29.8,23.8,83.0,50.2,4.8,4.0,250.0,1.0,C
17-03-2025,20.4,31.1,24.0,81.0,0.0,3.2,3.0,260.0,1.0,C
18-03-2025,20.5,28.4,23.7,85.0,6.0,5.8,5.0,270.0,1.0,C
19-03-2025,21.8,30.8,25.3,76.0,0.0,1.4,3.0,270.0,1.0,C
20-03-2025,22.6,31.4,26.2,72.0,8888.0,3.3,5.0,261.0,2.0,W
21-03-2025,22.1,29.6,25.0,78.0,0.0,7.6,4.0,260.0,2.0,W
22-03-2025,22.5,29.8,25.2,79.0,0.0,8.0,4.0,240.0,1.0,C
23-03-2025,21.8,31.0,25.1,76.0,0.0,5.1,5.0,270.0,1.0,C
24-03-2025,21.6,30.0,25.2,73.0,0.0,7.8,4.0,260.0,1.0,C
25-03-2025,21.2,28.2,24.2,77.0,4.0,4.3,6.0,300.0,1.0,C
26-03-2025,21.4,29.0,24.4,82.0,0.0,4.1,3.0,263.0,1.0,C
27-03-2025,21.2,31.2,24.7,81.0,0.0,5.8,4.0,250.0,1.0,C
28-03-2025,21.0,29.4,24.7,85.0,1.6,5.5,5.0,300.0,2.0,W
29-03-2025,20.8,30.8,25.7,71.0,16.3,6.3,4.0,240.0,1.0,W
30-03-2025,20.8,31.4,25.5,73.0,0.0,2.2,3.0,280.0,0.0,C
31-03-2025,21.2,30.8,25.6,75.0,0.0,7.8,3.0,260.0,0.0,C
