Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2019,-,,,,,,,,,
02-01-2019,0,,,,,,,,,
03-01-2019,20.5,,,,,,,,,
04-01-2019,2.6,,,,,,,,,
05-01-2019,0.9,,,,,,,,,
06-01-2019,8888,,,,,,,,,
07-01-2019,0,,,,,,,,,
08-01-2019,10.5,,,,,,,,,
09-01-2019,8888,,,,,,,,,
10-01-2019,1.5,,,,,,,,,
11-01-2019,8888,,,,,,,,,
12-01-2019,1,,,,,,,,,
13-01-2019,0,,,,,,,,,
14-01-2019,0,,,,,,,,,
15-01-2019,5.6,,,,,,,,,
16-01-2019,22.5,,,,,,,,,
17-01-2019,42,,,,,,,,,
18-01-2019,91.6,,,,,,,,,
19-01-2019,30,,,,,,,,,
20-01-2019,65,,,,,,,,,
21-01-2019,19.3,,,,,,,,,
22-01-2019,0,,,,,,,,,
23-01-2019,4.2,,,,,,,,,
24-01-2019,13.6,,,,,,,,,
25-01-2019,16,,,,,,,,,
26-01-2019,0,,,,,,,,,
27-01-2019,0,,,,,,,,,
28-01-2019,19.1,,,,,,,,,
29-01-2019,0.4,,,,,,,,,
30-01-2019,0,,,,,,,,,
31-01-2019,14.1,,,,,,,,,
