TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,TANGGAL,DDD_CAR
24.0,29.4,26.8,83.0,9.1,2.0,4.0,280.0,2.0,01-01-2000,W 
25.0,29.8,27.0,81.0,11.2,2.0,4.0,290.0,2.0,02-01-2000,W 
25.0,30.8,26.7,83.0,13.1,0.7,4.0,260.0,1.0,03-01-2000,W 
24.0,31.0,27.0,82.0,50.2,1.0,6.0,290.0,2.0,04-01-2000,W 
25.0,31.8,27.0,82.0,1.6,3.5,4.0,240.0,2.0,05-01-2000,SW
24.0,30.4,26.6,80.0,30.2,1.0,4.0,260.0,1.0,06-01-2000,W 
23.0,30.2,24.7,94.0,33.0,2.1,3.0,270.0,0.0,07-01-2000,NW
24.0,28.6,26.4,82.0,13.3,0.5,5.0,200.0,2.0,08-01-2000,S 
23.0,29.9,26.4,83.0,11.7,0.0,3.0,210.0,0.0,09-01-2000,SW
24.0,31.0,26.3,83.0,7.8,2.5,3.0,340.0,1.0,10-01-2000,W 
24.0,30.0,26.2,87.0,0.5,2.7,4.0,20.0,0.0,11-01-2000,N 
23.0,31.2,27.2,83.0,4.5,0.0,4.0,360.0,1.0,12-01-2000,N 
24.0,31.1,26.7,82.0,0.0,5.0,5.0,350.0,2.0,13-01-2000,N 
25.0,29.4,27.5,82.0,0.0,5.0,3.0,300.0,1.0,14-01-2000,W 
25.0,30.0,27.6,80.0,0.0,1.7,3.0,20.0,0.0,15-01-2000,N 
26.0,30.4,27.4,62.0,3.8,2.0,5.0,200.0,3.0,16-01-2000,S 
23.0,28.3,25.8,86.0,31.1,4.5,5.0,270.0,2.0,17-01-2000,W 
24.0,27.6,25.8,87.0,0.2,0.0,4.0,270.0,2.0,18-01-2000,W 
25.0,31.0,26.5,80.0,1.5,0.0,5.0,250.0,2.0,19-01-2000,W 
24.0,30.6,26.9,77.0,27.0,2.0,5.0,170.0,3.0,20-01-2000,S 
24.0,28.9,26.4,85.0,0.3,0.0,6.0,300.0,2.0,21-01-2000,NW
25.0,30.0,27.1,76.0,2.4,2.0,5.0,240.0,2.0,22-01-2000,W 
24.0,31.0,27.8,74.0,68.0,2.3,5.0,280.0,2.0,23-01-2000,W 
25.0,29.4,26.8,86.0,0.0,5.5,7.0,180.0,3.0,24-01-2000,S 
23.0,30.3,27.5,84.0,94.8,0.0,5.0,310.0,2.0,25-01-2000,NW
23.0,28.4,25.2,90.0,12.0,2.0,5.0,260.0,3.0,26-01-2000,W 
25.0,29.0,25.3,92.0,11.0,0.0,6.0,290.0,2.0,27-01-2000,W 
25.0,29.6,26.7,78.0,0.0,0.0,5.0,160.0,2.0,28-01-2000,S 
24.0,32.0,28.4,73.0,10.8,4.0,4.0,310.0,2.0,29-01-2000,W 
24.0,28.4,26.2,91.0,4.3,6.0,3.0,260.0,1.0,30-01-2000,W 
24.0,29.0,26.4,88.0,23.4,0.0,5.0,315.0,2.0,31-01-2000,W 
24.3,29.2,27.0,86.0,25.6,0.0,4.0,280.0,2.0,01-02-2000,W 
24.6,29.8,27.1,82.0,21.0,1.0,4.0,290.0,2.0,02-02-2000,W 
23.0,30.2,25.8,88.0,34.4,6.0,4.0,280.0,1.0,03-02-2000,W 
23.0,30.6,25.8,88.0,16.7,2.3,5.0,270.0,1.0,04-02-2000,N 
24.0,30.2,26.5,85.0,2.3,6.3,4.0,270.0,1.0,05-02-2000,W 
24.0,29.8,25.6,91.0,37.9,5.0,4.0,300.0,2.0,06-02-2000,W 
24.0,28.4,25.1,91.0,3.5,2.0,5.0,280.0,1.0,07-02-2000,W 
23.0,28.1,26.2,90.0,55.3,0.0,2.0,100.0,0.0,08-02-2000,SE
23.0,28.6,25.4,89.0,4.5,0.0,2.0,360.0,0.0,09-02-2000,NW
24.0,30.0,25.6,89.0,11.7,0.0,4.0,290.0,1.0,10-02-2000,W 
23.0,28.8,26.4,85.0,60.8,1.5,4.0,250.0,1.0,11-02-2000,W 
24.0,30.6,26.6,86.0,0.1,2.0,4.0,270.0,2.0,12-02-2000,W 
24.0,30.5,27.0,84.0,0.2,6.0,3.0,120.0,1.0,13-02-2000,N 
26.0,30.8,27.6,83.0,0.0,1.3,3.0,300.0,1.0,14-02-2000,W 
26.0,31.6,27.7,80.0,0.0,7.0,5.0,290.0,1.0,15-02-2000,W 
25.0,31.1,27.4,83.0,0.0,2.0,5.0,360.0,2.0,16-02-2000,N 
26.0,31.9,27.6,75.0,2.5,7.0,4.0,10.0,2.0,17-02-2000,W 
24.0,30.8,27.7,82.0,1.4,4.5,3.0,280.0,1.0,18-02-2000,W 
23.0,31.2,27.1,81.0,29.4,2.5,4.0,160.0,2.0,19-02-2000,N 
24.0,30.2,26.2,84.0,0.0,5.5,3.0,270.0,0.0,20-02-2000,W 
24.0,30.4,27.5,83.0,0.0,2.0,4.0,360.0,1.0,21-02-2000,N 
25.0,31.9,27.8,80.0,0.3,5.5,4.0,100.0,1.0,22-02-2000,N 
25.0,31.5,27.7,81.0,7.6,5.5,5.0,120.0,2.0,23-02-2000,W 
25.0,29.4,27.2,76.0,0.5,4.5,5.0,290.0,2.0,24-02-2000,W 
25.0,30.8,27.5,72.0,4.2,2.5,4.0,270.0,1.0,25-02-2000,W 
25.0,29.3,27.0,84.0,0.0,1.8,3.0,310.0,2.0,26-02-2000,W 
