TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,TANGGAL,DDD_CAR
25.0,30.8,27.5,77.0,0.0,0.0,4.0,280.0,2.0,27-02-2000,W 
25.0,30.8,27.6,74.0,0.0,3.5,4.0,280.0,1.0,28-02-2000,W 
25.0,31.4,28.0,66.0,0.0,1.0,3.0,360.0,2.0,29-02-2000,W 
27.0,31.2,28.4,68.0,0.0,0.0,4.0,110.0,1.0,01-03-2000,N 
26.0,31.4,28.2,72.0,0.3,2.5,4.0,350.0,1.0,02-03-2000,N 
24.0,28.2,26.9,82.0,22.5,0.0,3.0,80.0,1.0,03-03-2000,E 
25.0,29.1,26.7,90.0,7.1,1.5,4.0,280.0,1.0,04-03-2000,W 
24.0,31.6,27.9,80.0,4.9,6.8,4.0,270.0,2.0,05-03-2000,W 
24.0,31.5,27.5,76.0,1.4,1.8,5.0,280.0,2.0,06-03-2000,W 
26.0,31.6,28.1,74.0,0.0,5.0,7.0,250.0,3.0,07-03-2000,W 
26.0,32.0,28.3,71.0,0.0,4.5,5.0,250.0,3.0,08-03-2000,W 
24.0,31.7,27.6,84.0,4.7,2.0,5.0,360.0,3.0,09-03-2000,W 
25.0,32.6,28.3,75.0,0.0,1.8,4.0,300.0,2.0,10-03-2000,W 
25.0,32.6,28.1,72.0,0.0,3.0,5.0,310.0,2.0,11-03-2000,W 
25.0,30.6,27.4,79.0,14.4,2.3,6.0,110.0,3.0,12-03-2000,W 
25.0,29.8,26.8,84.0,3.2,0.5,4.0,200.0,2.0,13-03-2000,W 
25.0,30.2,27.4,82.0,7.3,2.0,4.0,280.0,2.0,14-03-2000,W 
26.0,34.0,29.0,68.0,0.0,8.0,6.0,280.0,4.0,15-03-2000,W 
25.0,32.4,28.4,69.0,0.0,5.8,4.0,280.0,3.0,16-03-2000,W 
25.0,30.8,27.0,71.0,0.0,2.5,6.0,280.0,3.0,17-03-2000,W 
27.0,32.4,29.0,68.0,0.0,5.5,5.0,270.0,4.0,18-03-2000,W 
24.0,32.2,28.6,72.0,17.5,6.0,5.0,80.0,1.0,19-03-2000,N 
25.0,31.0,27.2,82.0,0.0,1.5,3.0,70.0,1.0,20-03-2000,E 
26.0,32.2,28.5,72.0,0.0,2.0,4.0,270.0,2.0,21-03-2000,W 
25.0,33.9,29.3,61.0,0.0,8.0,5.0,150.0,2.0,22-03-2000,W 
26.0,30.2,27.9,77.0,0.0,2.0,5.0,250.0,1.0,23-03-2000,W 
25.0,30.4,27.6,78.0,0.0,3.0,3.0,360.0,1.0,24-03-2000,N 
25.0,31.4,27.9,74.0,0.0,2.2,4.0,260.0,2.0,25-03-2000,W 
25.0,32.2,27.7,77.0,0.0,5.0,3.0,310.0,1.0,26-03-2000,NW
26.0,33.2,28.2,75.0,4.3,4.5,4.0,320.0,1.0,27-03-2000,NW
26.0,30.6,28.2,81.0,0.1,3.3,3.0,350.0,1.0,28-03-2000,N 
26.0,32.3,28.2,77.0,1.6,6.5,4.0,350.0,1.0,29-03-2000,N 
25.0,32.0,28.2,77.0,11.9,6.7,3.0,310.0,0.0,30-03-2000,NW
25.0,31.4,28.0,80.0,3.4,6.0,3.0,310.0,0.0,31-03-2000,N 
25.0,32.0,27.8,80.0,0.0,3.0,3.0,360.0,1.0,01-04-2000,N 
24.0,32.8,28.7,77.0,58.5,5.0,6.0,70.0,1.0,02-04-2000,N 
24.0,32.8,26.9,85.0,34.2,5.7,4.0,340.0,0.0,03-04-2000,N 
25.0,32.2,27.6,82.0,0.0,5.7,4.0,350.0,2.0,04-04-2000,N 
25.0,34.8,29.6,69.0,0.5,1.0,5.0,340.0,1.0,05-04-2000,N 
25.0,31.4,27.3,82.0,4.0,0.0,3.0,270.0,2.0,06-04-2000,W 
25.0,30.1,27.0,77.0,0.0,0.0,3.0,280.0,2.0,07-04-2000,W 
25.0,31.6,27.4,77.0,0.0,4.0,6.0,340.0,2.0,08-04-2000,N 
25.0,31.5,27.3,80.0,0.0,4.7,4.0,150.0,2.0,09-04-2000,N 
26.0,32.2,28.7,72.0,0.0,2.8,4.0,210.0,3.0,10-04-2000,W 
24.0,33.5,28.1,72.0,1.3,3.0,4.0,360.0,1.0,11-04-2000,W 
25.0,34.2,27.5,76.0,17.7,7.0,4.0,270.0,1.0,12-04-2000,W 
26.0,33.6,29.1,69.0,0.0,2.0,3.0,280.0,1.0,13-04-2000,W 
25.0,34.2,28.8,70.0,0.0,8.0,3.0,10.0,1.0,14-04-2000,N 
26.0,33.4,29.0,73.0,0.0,6.5,4.0,360.0,1.0,15-04-2000,N 
26.0,32.6,29.0,74.0,0.0,4.0,4.0,360.0,2.0,16-04-2000,N 
26.0,32.8,29.0,72.0,0.0,4.0,4.0,270.0,2.0,17-04-2000,N 
26.0,32.5,28.8,77.0,0.0,3.5,4.0,340.0,1.0,18-04-2000,N 
27.0,32.5,28.6,77.0,0.3,4.5,4.0,310.0,2.0,19-04-2000,NW
25.0,34.0,28.3,80.0,36.3,1.6,5.0,340.0,0.0,20-04-2000,W 
25.0,33.9,27.6,83.0,10.6,4.7,3.0,280.0,1.0,21-04-2000,W 
26.0,32.4,28.3,82.0,7.3,6.5,4.0,320.0,1.0,22-04-2000,W 
25.0,30.2,27.5,84.0,4.5,4.1,3.0,80.0,0.0,23-04-2000,N 
25.0,31.2,27.2,84.0,16.9,3.5,3.0,20.0,0.0,24-04-2000,N 
25.0,31.4,27.5,83.0,0.0,2.8,2.0,10.0,0.0,25-04-2000,N 
25.0,33.0,27.3,82.0,6.3,1.5,4.0,360.0,1.0,26-04-2000,N 
25.0,32.4,27.9,79.0,6.7,7.3,3.0,350.0,1.0,27-04-2000,N 
24.0,32.2,26.9,87.0,30.0,7.0,4.0,10.0,1.0,28-04-2000,N 
25.0,31.8,27.9,84.0,17.2,4.5,3.0,40.0,0.0,29-04-2000,N 
25.0,32.2,27.4,83.0,37.0,5.0,4.0,20.0,1.0,30-04-2000,N 
25.0,31.9,27.6,82.0,0.0,0.0,3.0,360.0,1.0,01-05-2000,N 
25.0,31.0,27.5,82.0,2.0,0.0,3.0,20.0,1.0,02-05-2000,N 
24.0,31.0,26.6,90.0,8.1,0.0,3.0,20.0,1.0,03-05-2000,N 
24.0,30.6,26.5,91.0,30.2,0.0,6.0,150.0,2.0,04-05-2000,SE
24.0,32.6,27.2,83.0,0.0,0.0,5.0,190.0,1.0,05-05-2000,SW
25.0,32.7,27.6,82.0,7.4,0.0,3.0,50.0,0.0,06-05-2000,NE
25.0,32.4,28.4,80.0,0.2,0.0,4.0,360.0,2.0,07-05-2000,N 
25.0,32.2,28.1,82.0,0.0,0.0,3.0,360.0,1.0,08-05-2000,N 
26.0,32.4,28.3,81.0,0.0,0.0,5.0,170.0,1.0,09-05-2000,N 
24.0,32.6,28.8,78.0,21.7,0.0,4.0,170.0,1.0,10-05-2000,E 
25.0,32.4,27.8,85.0,9.1,0.0,3.0,350.0,1.0,11-05-2000,N 
26.0,32.4,28.6,77.0,0.0,0.0,4.0,170.0,2.0,12-05-2000,N 
27.0,34.0,29.3,70.0,0.0,0.0,4.0,70.0,1.0,13-05-2000,E 
27.0,33.4,29.0,74.0,0.0,0.0,4.0,170.0,2.0,14-05-2000,SW
26.0,31.0,28.5,83.0,23.4,0.0,4.0,230.0,1.0,15-05-2000,SW
25.0,32.4,28.6,80.0,7.4,0.0,5.0,90.0,2.0,16-05-2000,E 
26.0,32.4,29.1,76.0,0.5,0.0,4.0,90.0,2.0,17-05-2000,W 
26.0,33.2,29.4,75.0,0.0,0.0,6.0,60.0,2.0,18-05-2000,E 
25.0,33.2,28.8,75.0,1.5,0.0,5.0,170.0,2.0,19-05-2000,S 
25.0,32.0,28.3,76.0,0.0,0.0,4.0,20.0,1.0,20-05-2000,NE
26.0,32.9,29.1,77.0,0.0,0.0,4.0,360.0,1.0,21-05-2000,N 
26.0,32.6,28.9,77.0,0.0,0.0,4.0,20.0,2.0,22-05-2000,N 
26.0,33.4,29.2,77.0,0.0,0.0,3.0,120.0,2.0,23-05-2000,N 
26.0,33.0,28.9,78.0,0.0,0.0,4.0,110.0,2.0,24-05-2000,E 
26.0,33.0,28.8,77.0,0.0,0.0,5.0,320.0,1.0,25-05-2000,N 
26.0,33.4,29.2,77.0,0.0,0.0,3.0,360.0,1.0,26-05-2000,N 
26.0,33.0,29.2,72.0,0.0,0.0,4.0,170.0,1.0,27-05-2000,E 
25.0,32.9,27.8,80.0,0.8,0.0,5.0,270.0,1.0,28-05-2000,N 
24.0,33.4,28.8,76.0,28.5,0.0,4.0,10.0,2.0,29-05-2000,N 
25.0,32.0,28.0,84.0,0.0,0.0,4.0,340.0,1.0,30-05-2000,N 
26.0,32.4,28.3,77.0,0.0,0.0,3.0,350.0,0.0,31-05-2000,N 
25.0,33.2,29.0,69.0,0.0,6.5,6.0,110.0,1.0,01-06-2000,NE
25.0,30.6,27.2,74.0,6.0,0.0,3.0,360.0,1.0,02-06-2000,N 
25.0,27.5,25.9,91.0,2.4,0.0,4.0,60.0,2.0,03-06-2000,E 
25.0,31.4,26.8,86.0,13.2,4.0,5.0,340.0,2.0,04-06-2000,N 
24.0,31.8,27.2,83.0,17.3,5.5,4.0,170.0,1.0,05-06-2000,S 
26.0,30.6,28.3,80.0,0.0,2.0,4.0,290.0,1.0,06-06-2000,W 
25.0,31.4,27.4,88.0,20.8,0.5,4.0,360.0,0.0,07-06-2000,E 
25.0,32.0,28.8,78.0,10.7,4.5,4.0,40.0,1.0,08-06-2000,E 
25.0,31.4,28.0,79.0,0.0,8.0,4.0,360.0,1.0,09-06-2000,N 
25.0,32.2,28.0,78.0,0.0,4.0,4.0,360.0,2.0,10-06-2000,N 
26.0,33.0,28.4,78.0,0.0,6.2,3.0,80.0,1.0,11-06-2000,E 
24.0,32.0,28.2,80.0,17.6,2.5,5.0,30.0,1.0,12-06-2000,N 
25.0,32.2,27.9,79.0,0.0,5.8,4.0,50.0,1.0,13-06-2000,E 
25.0,31.6,28.1,80.0,5.3,5.0,3.0,360.0,1.0,14-06-2000,N 
24.0,32.2,27.7,73.0,0.0,7.0,4.0,350.0,1.0,15-06-2000,N 
25.0,32.4,28.4,68.0,0.0,5.0,4.0,10.0,1.0,16-06-2000,N 
25.0,32.0,28.5,73.0,0.0,2.0,4.0,150.0,2.0,17-06-2000,SE
24.0,27.0,26.0,88.0,2.6,0.0,4.0,90.0,1.0,18-06-2000,E 
25.0,31.8,27.6,79.0,0.3,4.5,5.0,90.0,1.0,19-06-2000,E 
25.0,32.7,27.8,78.0,0.2,3.0,5.0,50.0,3.0,20-06-2000,E 
25.0,28.8,26.4,86.0,0.0,0.0,5.0,90.0,2.0,21-06-2000,E 
25.0,30.6,26.6,81.0,14.6,6.5,5.0,90.0,2.0,22-06-2000,E 
24.0,31.2,26.9,78.0,0.8,1.0,4.0,90.0,1.0,23-06-2000,N 
24.0,32.4,27.6,78.0,1.6,5.5,5.0,90.0,2.0,24-06-2000,E 
25.0,32.6,27.4,77.0,0.0,6.5,4.0,60.0,2.0,25-06-2000,NE
24.0,31.4,28.4,73.0,0.0,6.5,5.0,180.0,2.0,26-06-2000,S 
25.0,32.0,27.8,71.0,0.0,5.3,4.0,20.0,1.0,27-06-2000,N 
25.0,32.4,27.5,71.0,0.0,2.0,3.0,20.0,1.0,28-06-2000,N 
25.0,31.6,27.8,76.0,7.3,5.0,4.0,360.0,2.0,29-06-2000,N 
25.0,30.9,27.4,82.0,5.0,5.0,4.2,266.5,1.0,30-06-2000,SE
26.0,32.0,28.3,73.0,0.0,4.5,5.0,40.0,2.0,01-07-2000,NE
25.0,30.8,27.5,82.0,3.8,4.5,4.0,150.0,1.0,02-07-2000,SE
25.0,32.0,27.6,80.0,0.0,4.0,4.0,80.0,1.0,03-07-2000,E 
25.0,32.2,28.5,73.0,0.0,2.3,5.0,260.0,1.0,04-07-2000,W 
25.0,33.4,28.2,77.0,0.0,7.5,5.0,260.0,1.0,05-07-2000,N 
24.0,32.1,28.1,79.0,2.4,4.4,3.0,90.0,0.0,06-07-2000,E 
25.0,31.6,27.7,79.0,0.0,8.0,4.0,20.0,1.0,07-07-2000,N 
26.0,32.0,28.3,78.0,0.0,8.0,4.0,340.0,1.0,08-07-2000,N 
26.0,32.4,28.4,80.0,1.5,7.0,4.0,360.0,2.0,09-07-2000,N 
24.0,31.1,27.8,81.0,0.0,2.5,3.0,110.0,1.0,10-07-2000,W 
25.0,33.2,28.3,78.0,0.0,7.8,4.0,90.0,1.0,11-07-2000,E 
25.0,33.2,28.2,72.0,0.0,8.0,4.0,50.0,1.0,12-07-2000,NE
25.0,32.6,28.4,75.0,0.0,7.8,4.0,70.0,2.0,13-07-2000,E 
25.0,32.4,27.8,81.0,2.0,1.5,4.0,20.0,1.0,14-07-2000,N 
25.0,32.8,28.0,76.0,0.0,8.0,3.0,40.0,0.0,15-07-2000,E 
25.0,31.2,27.3,81.0,0.0,2.6,4.0,90.0,1.0,16-07-2000,E 
26.0,31.8,28.2,79.0,0.0,8.0,5.0,90.0,2.0,17-07-2000,E 
25.0,32.7,28.4,70.0,0.0,8.0,6.0,90.0,3.0,18-07-2000,E 
25.0,33.4,28.2,77.0,0.0,8.0,4.0,100.0,2.0,19-07-2000,E 
26.0,31.7,27.9,74.0,0.0,1.5,5.0,60.0,2.0,20-07-2000,E 
25.0,32.8,28.8,78.0,0.0,7.9,5.0,80.0,1.0,21-07-2000,E 
25.0,32.6,28.7,72.0,0.0,8.0,5.0,40.0,2.0,22-07-2000,N 
25.0,33.0,27.8,67.0,0.0,8.0,4.0,350.0,2.0,23-07-2000,NE
25.0,32.6,28.0,75.0,0.0,8.0,5.0,80.0,2.0,24-07-2000,E 
25.0,32.9,28.1,74.0,0.0,8.0,5.0,90.0,2.0,25-07-2000,E 
25.0,31.6,28.2,72.0,0.0,2.3,6.0,100.0,2.0,26-07-2000,E 
25.0,32.0,28.4,70.0,0.0,4.0,4.0,60.0,1.0,27-07-2000,E 
25.0,31.6,28.0,80.0,1.0,2.0,3.0,350.0,1.0,28-07-2000,N 
25.0,32.0,27.6,77.0,0.0,5.0,6.0,90.0,2.0,29-07-2000,E 
26.0,33.9,28.4,72.0,0.0,8.0,6.0,80.0,2.0,30-07-2000,E 
25.0,32.2,28.2,74.0,0.0,2.2,5.0,200.0,2.0,31-07-2000,E 
26.0,31.2,28.1,72.0,0.0,3.5,4.0,150.0,2.0,01-08-2000,W 
24.0,31.1,27.3,80.0,27.6,1.0,3.0,360.0,2.0,02-08-2000,N 
24.0,31.2,27.6,76.0,0.0,0.0,4.0,360.0,2.0,03-08-2000,N 
25.0,32.5,27.7,74.0,0.0,7.5,4.0,360.0,1.0,04-08-2000,N 
25.0,32.2,27.9,70.0,0.0,6.6,5.0,190.0,2.0,05-08-2000,E 
25.0,32.2,27.7,71.0,0.0,7.0,5.0,20.0,2.0,06-08-2000,E 
25.0,33.4,28.6,70.0,0.0,0.0,4.0,350.0,1.0,07-08-2000,N 
25.0,32.6,28.1,74.0,0.0,0.0,5.0,100.0,2.0,08-08-2000,E 
25.0,32.4,28.5,70.0,0.0,3.0,6.0,80.0,2.0,09-08-2000,E 
25.0,32.6,28.0,70.0,0.0,5.7,6.0,90.0,2.0,10-08-2000,E 
25.0,32.2,28.8,69.0,0.7,0.0,4.0,60.0,1.0,11-08-2000,NE
25.0,32.0,28.4,70.0,0.0,0.0,4.0,20.0,1.0,12-08-2000,N 
25.0,32.8,28.7,70.0,0.0,0.0,3.0,80.0,1.0,13-08-2000,E 
24.0,32.6,27.8,70.0,0.0,0.0,4.0,90.0,1.0,14-08-2000,N 
24.0,32.0,27.3,74.0,0.0,0.0,4.0,80.0,1.0,15-08-2000,E 
24.0,31.6,28.1,72.0,0.0,3.5,4.0,250.0,1.0,16-08-2000,N 
25.0,31.7,27.9,68.0,0.0,0.0,4.0,50.0,2.0,17-08-2000,N 
24.0,31.6,27.8,69.0,0.0,5.3,4.0,10.0,2.0,18-08-2000,N 
24.0,31.2,26.8,75.0,0.0,4.0,3.0,90.0,1.0,19-08-2000,E 
25.0,31.2,27.7,71.0,0.0,5.0,4.0,120.0,2.0,20-08-2000,E 
25.0,31.6,27.7,71.0,0.0,0.0,5.0,300.0,2.0,21-08-2000,N 
25.0,32.4,28.2,70.0,0.0,7.0,4.0,360.0,2.0,22-08-2000,N 
24.0,31.4,27.6,72.0,0.0,0.0,4.0,10.0,2.0,23-08-2000,N 
25.0,32.2,27.8,74.0,0.0,7.0,4.0,90.0,1.0,24-08-2000,E 
25.0,32.8,28.0,78.0,0.0,0.0,4.0,170.0,2.0,25-08-2000,N 
26.0,32.0,28.5,75.0,0.0,6.5,4.0,150.0,2.0,26-08-2000,SE
25.0,32.8,29.2,76.0,6.0,0.0,4.0,350.0,1.0,27-08-2000,N 
25.0,31.7,27.4,80.0,7.2,3.0,4.0,10.0,2.0,28-08-2000,N 
26.0,32.5,28.1,74.0,0.0,0.0,4.0,360.0,1.0,29-08-2000,N 
26.0,31.8,28.7,76.0,0.6,5.2,4.0,170.0,2.0,30-08-2000,S 
25.0,30.8,27.9,83.0,0.0,1.0,4.0,150.0,2.0,31-08-2000,E 
25.0,33.0,29.1,72.0,0.0,7.0,4.0,360.0,2.0,01-09-2000,N 
25.0,32.6,28.4,76.0,0.0,8.0,4.0,80.0,2.0,02-09-2000,E 
26.0,33.2,28.5,77.0,0.0,8.0,5.0,90.0,2.0,03-09-2000,E 
25.0,32.5,29.1,75.0,3.4,8.0,4.0,70.0,2.0,04-09-2000,N 
26.0,32.8,28.7,77.0,0.0,8.0,4.0,360.0,1.0,05-09-2000,N 
25.0,32.6,28.8,78.0,10.0,8.0,4.0,360.0,2.0,06-09-2000,N 
26.0,33.0,28.4,83.0,0.0,8.0,5.0,250.0,2.0,07-09-2000,N 
25.0,33.2,28.7,70.0,0.0,8.0,5.0,360.0,2.0,08-09-2000,N 
25.0,33.3,28.6,72.0,0.0,8.0,4.0,360.0,2.0,09-09-2000,N 
25.0,33.2,28.8,70.0,0.0,8.0,5.0,80.0,2.0,10-09-2000,N 
25.0,32.8,28.3,71.0,0.0,8.0,5.0,80.0,2.0,11-09-2000,N 
26.0,34.2,29.3,69.0,0.0,8.0,5.0,80.0,2.0,12-09-2000,N 
25.0,33.4,29.0,72.0,0.0,8.0,5.0,220.0,2.0,13-09-2000,E 
26.0,32.8,28.6,75.0,0.0,8.0,4.0,290.0,2.0,14-09-2000,N 
25.0,33.7,28.7,70.0,0.0,8.0,4.0,30.0,2.0,15-09-2000,N 
25.0,33.8,28.6,70.0,0.0,8.0,6.0,90.0,2.0,16-09-2000,E 
26.0,34.7,29.4,68.0,0.0,8.0,4.0,80.0,2.0,17-09-2000,E 
27.0,33.2,29.6,74.0,0.0,8.0,5.0,70.0,2.0,18-09-2000,E 
27.0,33.5,29.3,71.0,0.0,6.0,4.0,20.0,1.0,19-09-2000,N 
26.0,32.0,28.9,77.0,1.0,5.5,5.0,300.0,2.0,20-09-2000,N 
25.0,31.6,28.4,73.0,14.0,3.5,5.0,40.0,2.0,21-09-2000,N 
25.0,31.6,28.4,74.0,0.0,6.0,4.0,20.0,2.0,22-09-2000,N 
25.0,32.6,28.5,79.0,0.0,7.5,5.0,90.0,2.0,23-09-2000,N 
25.0,33.5,29.0,72.0,1.0,2.5,4.0,80.0,2.0,24-09-2000,E 
26.0,32.4,28.6,77.0,0.0,7.1,4.0,30.0,1.0,25-09-2000,N 
25.0,31.8,28.3,72.0,0.6,3.0,3.0,50.0,0.0,26-09-2000,N 
25.0,33.4,28.6,79.0,0.0,8.0,5.0,360.0,2.0,27-09-2000,N 
26.0,33.2,29.6,70.0,0.0,8.0,5.0,60.0,2.0,28-09-2000,E 
26.0,34.0,29.8,69.0,0.0,8.0,5.0,50.0,2.0,29-09-2000,NE
26.0,33.2,29.7,66.0,0.0,5.5,4.0,50.0,2.0,30-09-2000,E 
26.0,33.4,28.9,73.0,0.0,8.0,4.0,120.0,2.0,01-10-2000,E 
26.0,32.2,28.8,79.0,0.0,3.3,5.0,320.0,1.0,02-10-2000,NW
26.0,33.0,29.5,80.0,0.0,5.0,4.0,360.0,2.0,03-10-2000,N 
25.0,33.0,28.3,77.0,8.6,0.0,5.0,340.0,2.0,04-10-2000,N 
25.0,29.4,27.0,80.0,10.5,0.0,4.0,350.0,1.0,05-10-2000,N 
25.0,32.4,28.0,78.0,0.0,5.0,4.0,360.0,1.0,06-10-2000,N 
25.0,32.6,27.9,75.0,0.0,4.3,5.0,20.0,1.0,07-10-2000,N 
26.0,31.2,28.8,70.0,0.0,8.0,4.0,360.0,1.0,08-10-2000,N 
26.0,33.2,29.0,69.0,0.0,7.5,4.0,360.0,1.0,09-10-2000,N 
26.0,33.4,29.0,72.0,0.0,7.5,4.0,360.0,1.0,10-10-2000,N 
25.0,33.0,29.3,76.0,0.0,7.0,5.0,350.0,1.0,11-10-2000,N 
26.0,33.2,29.2,72.0,0.0,5.0,4.0,32.0,1.0,12-10-2000,N 
26.0,32.9,29.1,79.0,0.0,8.0,4.0,340.0,1.0,13-10-2000,N 
25.0,33.8,28.8,80.0,0.0,8.0,5.0,350.0,2.0,14-10-2000,N 
26.0,33.2,28.5,79.0,0.0,5.5,4.0,340.0,1.0,15-10-2000,N 
26.0,32.6,28.7,82.0,3.8,1.6,4.0,360.0,1.0,16-10-2000,N 
26.0,32.4,28.6,83.0,0.0,2.3,4.0,310.0,2.0,17-10-2000,N 
26.0,31.4,28.4,77.0,1.0,3.7,5.0,340.0,1.0,18-10-2000,W 
26.0,33.0,28.9,73.0,0.0,4.0,4.0,350.0,1.0,19-10-2000,N 
25.0,33.0,29.7,71.0,0.0,4.5,4.0,360.0,2.0,20-10-2000,N 
25.0,33.8,28.7,78.0,0.0,8.0,4.0,350.0,2.0,21-10-2000,N 
25.0,32.6,28.2,75.0,0.0,5.0,5.0,340.0,2.0,22-10-2000,W 
25.0,31.8,28.6,78.0,8.8,0.7,5.0,350.0,2.0,23-10-2000,NW
25.0,32.2,28.4,86.0,0.0,3.0,4.0,20.0,2.0,24-10-2000,N 
25.0,31.8,28.1,79.0,0.6,0.0,4.0,360.0,2.0,25-10-2000,NW
25.0,33.4,29.2,77.0,3.3,0.6,5.0,360.0,2.0,26-10-2000,N 
24.0,32.1,27.0,86.0,1.3,2.0,4.0,270.0,1.0,27-10-2000,E 
