TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG
25.0,31.2,27.8,76.0,0.0,0.2,8.0,45.0,4.0
25.0,31.2,27.3,80.0,1.7,0.7,12.0,360.0,6.0
25.0,31.4,27.6,77.0,2.5,1.6,11.0,360.0,5.0
25.0,31.5,27.2,81.0,0.0,2.5,12.0,45.0,6.0
25.0,31.3,26.9,82.0,12.5,0.0,14.0,225.0,6.0
24.0,31.9,26.7,78.0,21.4,1.8,15.0,315.0,5.0
25.0,29.8,25.9,86.0,7.6,0.0,11.0,270.0,5.0
24.0,29.8,25.7,86.0,15.6,0.0,7.0,225.0,3.0
23.0,32.0,27.3,79.0,5.4,4.2,8.0,225.0,3.0
23.0,32.4,27.7,76.0,10.0,6.7,11.0,225.0,0.0
24.0,30.8,26.6,84.0,18.8,0.0,6.0,270.0,3.0
24.0,33.5,27.5,76.0,0.8,6.6,13.0,315.0,4.0
25.0,33.0,27.8,74.0,0.5,2.0,10.0,225.0,4.0
24.0,30.3,26.6,83.0,7.2,2.0,9.0,315.0,3.0
25.0,28.3,28.1,77.0,38.8,6.3,9.0,225.0,3.0
24.0,32.1,28.2,76.0,20.2,5.8,14.0,225.0,8.0
23.0,27.9,25.7,84.8,1.8,0.0,14.0,225.0,8.0
24.0,27.5,25.9,85.0,5.4,0.0,15.0,225.0,7.0
24.0,29.7,27.2,75.0,21.5,0.5,12.0,225.0,6.0
24.0,27.9,25.3,90.0,0.0,0.0,13.0,315.0,7.0
27.0,31.0,27.6,80.0,29.2,5.6,14.0,315.0,8.0
25.0,30.9,28.6,71.0,0.1,3.8,14.0,315.0,6.0
26.0,31.8,28.3,71.0,0.0,6.5,9.0,270.0,5.0
24.0,31.0,28.6,76.0,27.7,1.5,11.0,315.0,5.0
23.0,32.1,28.3,80.0,0.1,4.5,15.0,270.0,8.0
23.0,28.9,25.7,86.0,60.2,0.0,17.0,270.0,8.0
23.0,29.9,26.3,86.0,65.2,0.8,17.0,315.0,10.0
24.0,30.8,28.0,76.0,5.8,2.5,11.0,315.0,7.0
24.0,32.0,28.8,71.0,1.0,4.6,11.0,315.0,6.0
25.0,28.9,26.2,87.0,62.8,0.0,8.0,315.0,5.0
25.0,31.4,26.8,84.0,36.3,0.0,13.0,315.0,6.0
24.0,30.9,27.5,79.0,5.2,1.0,13.0,270.0,7.0
24.0,30.6,27.7,76.0,20.9,3.1,13.0,315.0,9.0
24.0,30.9,26.4,84.0,32.5,3.4,17.0,315.0,9.0
24.0,31.4,26.6,78.0,41.3,7.0,9.0,225.0,6.0
24.0,31.0,27.2,80.0,1.8,4.6,9.0,270.0,4.0
23.0,28.4,25.9,87.0,44.8,2.0,13.0,315.0,5.0
23.0,27.5,24.6,94.0,24.5,1.8,17.0,225.0,7.0
23.0,26.6,25.5,88.0,54.1,0.0,14.0,225.0,7.0
24.0,29.0,25.6,84.0,4.3,0.0,11.0,270.0,5.0
24.0,31.3,26.0,82.0,1.5,2.3,11.0,225.0,6.0
24.0,30.2,26.2,78.0,58.9,2.4,11.0,315.0,6.0
24.0,31.5,26.5,84.0,0.0,1.0,10.0,270.0,5.0
26.0,30.3,27.6,74.0,0.0,1.8,14.0,315.0,5.0
26.0,32.2,28.1,80.0,0.0,7.4,12.0,315.0,4.0
26.0,31.5,28.2,78.0,0.1,2.4,8.0,315.0,4.0
26.0,32.0,28.2,78.0,0.0,6.2,13.0,315.0,4.0
26.0,32.7,28.0,74.0,0.0,8.0,17.0,225.0,10.0
25.0,31.8,28.0,76.0,3.9,3.3,14.0,270.0,5.0
24.0,31.7,27.6,79.0,8.5,5.0,7.0,360.0,3.0
25.0,30.8,26.6,81.0,0.0,0.0,8.0,270.0,3.0
25.0,32.6,28.3,78.0,2.1,1.8,9.0,315.0,4.0
24.0,33.1,28.5,74.0,9.7,6.4,9.0,360.0,4.0
25.0,32.2,27.6,84.0,0.0,5.4,13.0,225.0,8.0
26.0,30.2,27.7,71.0,3.5,4.0,15.0,270.0,10.0
25.0,30.9,27.5,70.0,2.2,1.0,14.0,315.0,6.0
25.0,29.8,27.3,78.0,8.6,0.0,13.0,315.0,6.0
25.0,31.0,27.9,72.0,0.0,4.8,12.0,315.0,6.0
25.0,30.2,27.8,68.0,0.0,2.1,9.0,315.0,6.0
26.0,32.4,28.4,67.0,0.0,2.9,12.0,225.0,7.0
27.0,30.8,28.3,68.0,0.0,0.0,8.0,315.0,6.0
26.0,31.7,28.3,74.0,0.0,0.8,10.0,315.0,6.0
26.0,29.9,27.1,82.0,28.8,0.1,5.0,225.0,5.0
24.0,29.9,26.7,86.0,13.1,0.3,8.0,225.0,5.0
25.0,31.9,26.7,80.0,2.0,7.1,22.0,225.0,9.0
25.0,30.8,27.3,74.0,0.5,0.3,14.0,225.0,8.0
25.0,31.7,28.2,69.0,0.0,4.5,13.0,225.0,9.0
26.0,32.8,28.6,71.0,0.0,5.6,14.0,225.0,7.0
26.0,32.5,27.4,74.0,6.5,2.7,15.0,225.0,7.0
25.0,32.6,28.6,65.0,0.0,2.3,15.0,270.0,7.0
26.0,32.0,28.0,70.0,0.0,3.0,14.0,225.0,9.0
25.0,31.0,26.3,82.0,5.6,2.9,15.0,225.0,9.0
26.0,30.6,27.1,76.0,0.0,0.4,11.0,225.0,7.0
24.0,30.4,26.0,78.0,4.0,2.4,12.0,225.0,9.0
26.0,34.2,29.1,60.0,0.0,6.3,19.0,225.0,10.0
24.0,32.4,28.4,68.0,2.2,6.0,18.0,225.0,10.0
25.0,31.6,27.0,68.0,0.0,2.2,24.0,225.0,11.0
26.0,30.1,28.8,72.0,0.0,6.2,13.0,315.0,7.0
25.0,31.8,29.0,70.0,3.3,7.0,13.0,315.0,5.0
26.0,31.4,27.5,78.0,0.0,1.0,10.0,270.0,5.0
26.0,32.6,28.7,68.0,0.0,3.5,16.0,225.0,9.0
25.0,35.4,30.0,55.0,0.0,7.5,16.0,225.0,7.0
26.0,31.0,27.6,76.0,0.0,2.1,8.0,315.0,4.0
26.0,30.9,27.3,77.0,0.0,2.5,8.0,315.0,3.0
25.0,31.0,28.3,70.0,0.0,1.5,9.0,225.0,4.0
26.0,33.7,28.3,70.0,0.0,5.2,9.0,315.0,5.0
26.0,32.9,28.4,72.0,0.0,5.2,8.0,315.0,4.0
26.0,31.7,28.3,76.0,0.0,6.5,9.0,360.0,4.0
26.0,32.8,28.5,74.0,7.0,2.8,10.0,315.0,4.0
26.0,32.3,28.5,75.0,2.8,6.6,10.0,315.0,4.0
25.0,33.1,28.6,76.0,2.2,3.7,7.0,360.0,4.0
25.6,31.1,28.0,80.0,2.2,4.4,8.0,315.0,4.0
24.0,32.9,25.6,76.0,0.0,4.1,11.0,225.0,5.0
25.0,33.2,27.0,80.0,29.9,6.2,12.0,315.0,5.0
25.0,33.4,27.8,79.0,2.8,5.7,16.0,315.0,6.0
25.0,34.8,29.8,66.0,0.0,8.0,11.0,315.0,6.0
26.0,30.6,27.1,81.0,0.2,0.0,11.0,225.0,6.0
26.0,31.0,27.1,74.0,0.6,0.0,11.0,270.0,7.0
25.0,31.8,27.7,75.0,0.0,7.1,14.0,315.0,7.0
26.0,32.0,28.3,76.0,0.0,4.2,9.0,225.0,6.0
23.0,33.1,28.9,64.0,0.6,2.1,13.0,225.0,8.0
24.0,33.7,28.3,70.0,0.0,2.6,9.0,225.0,4.0
26.0,33.9,28.6,68.0,0.6,7.8,13.0,225.0,5.0
26.0,33.9,29.6,61.0,0.3,2.3,11.0,225.0,6.0
27.0,35.0,29.6,66.0,0.0,7.5,12.0,360.0,5.0
27.0,34.3,29.5,69.0,0.0,6.9,9.0,315.0,3.0
26.0,34.1,29.8,71.0,0.0,6.2,11.0,360.0,5.0
27.0,34.6,29.9,70.7,0.0,5.7,11.0,315.0,3.0
27.0,32.5,29.0,74.0,0.0,4.9,11.0,315.0,6.0
27.0,32.1,28.6,76.0,0.0,1.4,11.0,315.0,7.0
24.0,33.4,28.2,77.0,0.0,4.1,13.0,315.0,6.0
25.0,34.3,28.0,78.0,11.2,5.0,17.0,315.0,4.0
26.0,32.7,28.3,78.0,5.9,3.9,9.0,225.0,3.0
25.0,31.2,27.8,80.0,0.0,2.9,11.0,45.0,3.0
25.0,32.8,28.2,76.0,0.0,2.7,8.0,360.0,4.0
24.0,32.7,28.1,77.0,1.6,4.5,7.0,225.0,3.0
25.0,33.8,27.6,81.0,0.0,5.6,9.0,315.0,3.0
25.0,33.1,27.8,78.0,5.5,7.2,15.0,225.0,4.0
24.0,34.1,27.2,84.0,0.0,6.2,17.0,225.0,4.0
24.0,33.8,28.6,78.0,41.4,6.7,7.0,45.0,4.0
25.0,32.7,27.7,79.0,0.0,5.3,14.0,225.0,4.0
25.0,32.6,27.9,79.0,16.7,5.1,11.0,315.0,4.0
26.0,33.4,28.2,75.0,0.2,6.3,11.0,45.0,6.0
25.0,30.6,26.7,84.0,11.8,0.4,11.0,360.0,4.0
24.6,33.1,27.9,82.0,16.0,3.0,11.0,180.0,3.0
24.0,33.1,27.5,80.0,0.8,4.7,6.0,315.0,3.0
24.0,33.0,28.0,77.0,0.0,5.9,6.0,225.0,3.0
25.0,33.8,29.0,72.0,0.0,6.6,9.0,315.0,4.0
