TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG
26.0,30.6,28.2,81.0,0.1,3.3,3.0,350.0,1.0
26.0,32.3,28.2,77.0,1.6,6.5,4.0,350.0,1.0
25.0,32.0,28.2,77.0,11.9,6.7,3.0,310.0,0.0
25.0,31.4,28.0,80.0,3.4,6.0,3.0,310.0,0.0
25.0,32.0,27.8,80.0,0.0,3.0,3.0,360.0,1.0
24.0,32.8,28.7,77.0,58.5,5.0,6.0,70.0,1.0
24.0,32.8,26.9,85.0,34.2,5.7,4.0,340.0,0.0
25.0,32.2,27.6,82.0,0.0,5.7,4.0,350.0,2.0
25.0,34.8,29.6,69.0,0.5,1.0,5.0,340.0,1.0
25.0,31.4,27.3,82.0,4.0,0.0,3.0,270.0,2.0
25.0,30.1,27.0,77.0,0.0,0.0,3.0,280.0,2.0
25.0,31.6,27.4,77.0,0.0,4.0,6.0,340.0,2.0
25.0,31.5,27.3,80.0,0.0,4.7,4.0,150.0,2.0
26.0,32.2,28.7,72.0,0.0,2.8,4.0,210.0,3.0
24.0,33.5,28.1,72.0,1.3,3.0,4.0,360.0,1.0
25.0,34.2,27.5,76.0,17.7,7.0,4.0,270.0,1.0
26.0,33.6,29.1,69.0,0.0,2.0,3.0,280.0,1.0
25.0,34.2,28.8,70.0,0.0,8.0,3.0,10.0,1.0
26.0,33.4,29.0,73.0,0.0,6.5,4.0,360.0,1.0
26.0,32.6,29.0,74.0,0.0,4.0,4.0,360.0,2.0
26.0,32.8,29.0,72.0,0.0,4.0,4.0,270.0,2.0
26.0,32.5,28.8,77.0,0.0,3.5,4.0,340.0,1.0
27.0,32.5,28.6,77.0,0.0,4.5,4.0,310.0,2.0
25.0,34.0,28.3,80.0,36.3,1.6,5.0,340.0,0.0
25.0,33.9,27.6,83.0,10.6,4.7,3.0,280.0,1.0
26.0,32.4,28.3,82.0,8.2,6.5,4.0,320.0,1.0
25.0,30.2,27.5,84.0,4.5,4.1,3.0,80.0,0.0
25.0,31.2,27.2,84.0,16.9,3.5,3.0,20.0,0.0
25.0,31.4,27.5,83.0,0.0,2.8,2.0,10.0,0.0
25.0,33.0,27.3,82.0,6.3,1.5,4.0,360.0,1.0
25.0,32.4,27.9,79.0,8.1,7.3,3.0,350.0,1.0
24.0,32.2,26.9,87.0,30.0,7.0,4.0,10.0,1.0
25.0,31.8,27.9,84.0,14.2,4.5,3.0,40.0,0.0
