Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-04-2024,20.4,30.4,24.8,81.0,0.4,6.8,3.0,300.0,0.0,C 
02-04-2024,21.8,30.4,25.9,81.0,11.6,5.9,3.0,250.0,1.0,C 
03-04-2024,21.4,30.8,25.4,81.0,5.6,6.0,3.0,90.0,0.0,C 
04-04-2024,22.2,29.8,25.5,81.0,1.7,2.9,2.0,290.0,0.0,C 
05-04-2024,22.2,-,27.0,72.0,3,4.9,3.0,210.0,1.0,C 
06-04-2024,21.6,29.6,25.7,80.0,-,4.0,3.0,270.0,0.0,C 
07-04-2024,21.8,31.4,26.3,73.0,9,4.2,5.0,190.0,1.0,C 
08-04-2024,21.8,31.2,26.4,72.0,-,8.6,3.0,220.0,0.0,C 
09-04-2024,21.6,27.6,24.3,83.0,3.8,4.7,1.0,50.0,0.0,C 
10-04-2024,21.4,30.4,24.3,83.0,1.5,0.0,4.0,270.0,0.0,C 
11-04-2024,20.8,30.4,24.9,83.0,11,4.4,2.0,200.0,0.0,C 
12-04-2024,20.8,28,23.1,88.0,30.7,6.2,1.0,60.0,0.0,C 
13-04-2024,20.2,31,26.1,75.0,20.8,2.5,2.0,140.0,0.0,C 
14-04-2024,21.8,31.2,24.6,83.0,-,5.8,0.0,230.0,0.0,C 
15-04-2024,22.3,30,25.5,81.0,43.2,4.3,3.0,250.0,0.0,C 
16-04-2024,22.0,31.2,26.3,75.0,0.3,4.0,2.0,230.0,0.0,C 
17-04-2024,22.0,31.8,26.5,72.0,2.1,7.7,6.0,70.0,1.0,C 
18-04-2024,22.3,32,26.2,68.0,8888,7.8,3.0,100.0,0.0,C 
19-04-2024,22.4,29.9,24.4,79.0,0,7.4,1.0,120.0,0.0,C 
20-04-2024,21.0,28.6,24.8,81.0,3.5,2.1,3.0,260.0,0.0,C 
21-04-2024,21.4,30.4,24.2,84.0,1.1,2.4,4.0,90.0,0.0,C 
22-04-2024,21.0,29.6,25.2,84.0,6.1,2.8,2.0,250.0,0.0,C 
23-04-2024,20.8,28,24.7,84.0,15.4,5.4,1.0,100.0,0.0,C 
24-04-2024,20.4,29.8,25.1,81.0,0.6,1.1,3.0,160.0,0.0,C 
25-04-2024,22.2,29.9,24.8,85.0,1.9,1.1,2.0,240.0,0.0,C 
26-04-2024,21.8,29.6,24.2,85.0,14.7,2.6,3.0,310.0,0.0,C 
27-04-2024,21.0,29.4,24.4,84.0,19,3.2,0.0,0.0,0.0,C 
28-04-2024,21.1,30.4,25.6,78.0,6.4,3.8,3.0,200.0,0.0,C 
29-04-2024,22.0,32,26.7,75.0,8888,6.4,4.0,95.0,1.0,C 
30-04-2024,21.8,31.5,25.9,80.0,-,7.1,3.0,270.0,0.0,C 
