Hari,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2024,20.8,30.0,25.3,81.0,37.1,4.1,3.0,24.0,0.0,C 
02-01-2024,22.4,30.4,25.6,82.0,3.8,2.7,1.0,90.0,0.0,C 
03-01-2024,22.4,28.8,24.9,83.0,6.4,1.1,3.0,280.0,1.0,C 
04-01-2024,22.0,26.8,22.5,91.0,1.6,1.4,2.0,120.0,0.0,C 
05-01-2024,20.2,29.6,23.9,82.0,32.5,0.0,5.0,210.0,0.0,C 
06-01-2024,20.2,28.2,23.4,87.0,22.5,3.6,1.0,70.0,0.0,C 
07-01-2024,20.6,28.4,22.8,90.0,9.3,0.3,1.0,110.0,0.0,C 
08-01-2024,20.0,28.4,23.8,85.0,37.2,2.8,2.0,290.0,0.0,C 
09-01-2024,21.7,30.7,23.5,86.0,2.8,3.3,4.0,260.0,0.0,C 
10-01-2024,20.6,29.2,23.6,88.0,14.3,3.0,3.0,250.0,0.0,C 
11-01-2024,20.6,29.4,22.9,91.0,61.7,3.6,3.0,200.0,0.0,C 
12-01-2024,20.6,29.4,24.5,76.0,49.3,1.0,3.0,170.0,0.0,C 
13-01-2024,20.4,30.6,24.7,76.0,-,3.2,2.0,260.0,0.0,C 
14-01-2024,19.9,30.8,25.6,74.0,0,3.5,4.0,230.0,1.0,C 
15-01-2024,22.2,31.4,25.4,75.0,0,6.6,3.0,210.0,0.0,C 
16-01-2024,21.5,31.0,25.9,70.0,8888,4.9,4.0,230.0,1.0,C 
17-01-2024,17.9,29.6,24.9,76.0,-,5.9,5.0,240.0,2.0,C 
18-01-2024,22.4,31.4,24.0,79.0,1.9,0.5,4.0,240.0,1.0,W 
19-01-2024,21.1,27.2,22.7,82.0,15,0.0,3.0,210.0,1.0,C 
20-01-2024,21.0,29.8,24.5,71.0,5.3,1.2,3.0,250.0,1.0,C 
21-01-2024,21.4,29.8,24.7,75.0,0.3,4.0,5.0,260.0,1.0,W 
22-01-2024,22.0,29.4,24.4,75.0,11.6,4.8,4.0,290.0,2.0,SW
23-01-2024,21.2,28.6,24.5,77.0,2.5,2.2,3.0,250.0,0.0,C 
24-01-2024,21.8,28.4,24.2,77.0,5.1,1.5,4.0,260.0,1.0,C 
25-01-2024,20.4,32.0,26.0,70.0,4.5,4.5,5.0,230.0,1.0,C 
26-01-2024,21.6,31.8,25.4,74.0,0.3,7.6,5.0,240.0,1.0,C 
27-01-2024,21.4,30.2,25.3,75.0,0.6,6.6,5.0,250.0,1.0,C 
28-01-2024,21.4,29.2,25.4,74.0,-,7.3,5.0,270.0,2.0,C 
29-01-2024,22.6,28.2,24.7,78.0,0,7.1,5.0,230.0,1.0,C 
30-01-2024,21.2,29.4,24.8,80.0,0.3,3.4,6.0,210.0,2.0,C 
31-01-2024,22.0,30.0,23.5,85.0,2.6,6.4,3.0,230.0,1.0,C 
